ids,labels,parents
Creeper - American Imperial IPA - Columbus Brewing Company - Columbus - OH - great-lakes,Creeper,American Imperial IPA - Columbus Brewing Company - Columbus - OH - great-lakes
Barrel-Aged Legion - Russian Imperial Stout - Community Beer Company - Dallas - TX - southwest,Barrel-Aged Legion,Russian Imperial Stout - Community Beer Company - Dallas - TX - southwest
Superdamp IPA - American IPA - Comrade Brewing Company - Sullivan - CO - mountain,Superdamp IPA,American IPA - Comrade Brewing Company - Sullivan - CO - mountain
Superpower IPA - American IPA - Comrade Brewing Company - Sullivan - CO - mountain,Superpower IPA,American IPA - Comrade Brewing Company - Sullivan - CO - mountain
Superpower IPA - Fresh Hop - American IPA - Comrade Brewing Company - Sullivan - CO - mountain,Superpower IPA - Fresh Hop,American IPA - Comrade Brewing Company - Sullivan - CO - mountain
Infinite Sadness - American Black Ale - Country Boy Brewing - Lexington - KY - south,Infinite Sadness,American Black Ale - Country Boy Brewing - Lexington - KY - south
Existence - American Imperial Stout - Creature Comforts - Athens-Clarke County - GA - south-atlantic,Existence,American Imperial Stout - Creature Comforts - Athens-Clarke County - GA - south-atlantic
Cosmik Debris - American Imperial IPA - Creature Comforts - Athens-Clarke County - GA - south-atlantic,Cosmik Debris,American Imperial IPA - Creature Comforts - Athens-Clarke County - GA - south-atlantic
Duende - American Imperial IPA - Creature Comforts - Athens-Clarke County - GA - south-atlantic,Duende,American Imperial IPA - Creature Comforts - Athens-Clarke County - GA - south-atlantic
Tropicália - American IPA - Creature Comforts - Athens-Clarke County - GA - south-atlantic,Tropicália,American IPA - Creature Comforts - Athens-Clarke County - GA - south-atlantic
Nightmare On Brett Raspberry - American Brett - Crooked Stave Artisan Beer Project - Denver - CO - mountain,Nightmare On Brett Raspberry,American Brett - Crooked Stave Artisan Beer Project - Denver - CO - mountain
L'Brett D'Or - American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain,L'Brett D'Or,American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain
Mama Bear's Sour Cherry Pie - American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain,Mama Bear's Sour Cherry Pie,American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain
Raspberry Origins - American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain,Raspberry Origins,American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain
Nightmare On Brett - American Brett - Crooked Stave Artisan Beer Project - Denver - CO - mountain,Nightmare On Brett,American Brett - Crooked Stave Artisan Beer Project - Denver - CO - mountain
L'Brett D'Or - Dry Hopped - American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain,L'Brett D'Or - Dry Hopped,American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain
Persica - American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain,Persica,American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain
Nightmare On Brett - Cherry - American Brett - Crooked Stave Artisan Beer Project - Denver - CO - mountain,Nightmare On Brett - Cherry,American Brett - Crooked Stave Artisan Beer Project - Denver - CO - mountain
Origins - American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain,Origins,American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain
Crooked Stave / Omnipollo Bianca Raspberry Wild Wild Brett - American Brett - Crooked Stave Artisan Beer Project - Denver - CO - mountain,Crooked Stave / Omnipollo Bianca Raspberry Wild Wild Brett,American Brett - Crooked Stave Artisan Beer Project - Denver - CO - mountain
L'Brett D'Raspberry - American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain,L'Brett D'Raspberry,American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain
Nightmare On Brett - Leopold Brothers Maryland Rye Whiskey - American Brett - Crooked Stave Artisan Beer Project - Denver - CO - mountain,Nightmare On Brett - Leopold Brothers Maryland Rye Whiskey,American Brett - Crooked Stave Artisan Beer Project - Denver - CO - mountain
Petite Sour - Blueberry - American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain,Petite Sour - Blueberry,American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain
Serenata Notturna - American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain,Serenata Notturna,American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain
Petite Sour With Hibiscus And Cinnamon - American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain,Petite Sour With Hibiscus And Cinnamon,American Wild Ale - Crooked Stave Artisan Beer Project - Denver - CO - mountain
Rare DOS 1 - American Imperial Stout - Cycle Brewing - Saint Petersburg - FL - south-atlantic,Rare DOS 1,American Imperial Stout - Cycle Brewing - Saint Petersburg - FL - south-atlantic
Cocodamia - American Imperial Stout - Cycle Brewing - Saint Petersburg - FL - south-atlantic,Cocodamia,American Imperial Stout - Cycle Brewing - Saint Petersburg - FL - south-atlantic
Rare Noa - American Imperial Stout - Cycle Brewing - Saint Petersburg - FL - south-atlantic,Rare Noa,American Imperial Stout - Cycle Brewing - Saint Petersburg - FL - south-atlantic
Rare DOS - American Imperial Stout - Cycle Brewing - Saint Petersburg - FL - south-atlantic,Rare DOS,American Imperial Stout - Cycle Brewing - Saint Petersburg - FL - south-atlantic
RareR DOS - American Imperial Stout - Cycle Brewing - Saint Petersburg - FL - south-atlantic,RareR DOS,American Imperial Stout - Cycle Brewing - Saint Petersburg - FL - south-atlantic
Bourbon Barrel Aged Plead The 5th - Russian Imperial Stout - Dark Horse Brewing Company - Marshall - MI - great-lakes,Bourbon Barrel Aged Plead The 5th,Russian Imperial Stout - Dark Horse Brewing Company - Marshall - MI - great-lakes
The Abyss - American Imperial Stout - Deschutes Brewery - Bend - OR - northwest,The Abyss,American Imperial Stout - Deschutes Brewery - Bend - OR - northwest
The Abyss (Brandy Barrel-Aged) - American Imperial Stout - Deschutes Brewery - Bend - OR - northwest,The Abyss (Brandy Barrel-Aged),American Imperial Stout - Deschutes Brewery - Bend - OR - northwest
Fresh Squeezed IPA - American IPA - Deschutes Brewery - Bend - OR - northwest,Fresh Squeezed IPA,American IPA - Deschutes Brewery - Bend - OR - northwest
Black Mirror - American Barleywine - Deschutes Brewery - Bend - OR - northwest,Black Mirror,American Barleywine - Deschutes Brewery - Bend - OR - northwest
Stupid Good - New England IPA - Disgruntled Brewing - Perham - MN - midwest,Stupid Good,New England IPA - Disgruntled Brewing - Perham - MN - midwest
World Wide Stout - Bourbon Barrel Aged - American Imperial Stout - Dogfish Head Craft Brewery - Milton - DE - mid-atlantic,World Wide Stout - Bourbon Barrel Aged,American Imperial Stout - Dogfish Head Craft Brewery - Milton - DE - mid-atlantic
Devil's Cuvee Kriek - Flanders Red Ale - Double Mountain Brewery & Taproom - Hood River - OR - northwest,Devil's Cuvee Kriek,Flanders Red Ale - Double Mountain Brewery & Taproom - Hood River - OR - northwest
Sarcosuchus Double IPA - American Imperial IPA - Dragoon Brewing Co. - Tucson - AZ - southwest,Sarcosuchus Double IPA,American Imperial IPA - Dragoon Brewing Co. - Tucson - AZ - southwest
Downtown North Porter - American Imperial Porter - Druid City Brewing Company - Tuscaloosa - AL - south,Downtown North Porter,American Imperial Porter - Druid City Brewing Company - Tuscaloosa - AL - south
Bligh's Barleywine Ale - British Barleywine - Dry Dock Brewing Co. - Aurora - CO - mountain,Bligh's Barleywine Ale,British Barleywine - Dry Dock Brewing Co. - Aurora - CO - mountain
Signature Series Double Coffee Porter - American Imperial Porter - Dry Dock Brewing Co. - Aurora - CO - mountain,Signature Series Double Coffee Porter,American Imperial Porter - Dry Dock Brewing Co. - Aurora - CO - mountain
Double Barrel Big Bad Baptist - American Imperial Stout - Epic Brewing Company - Salt Lake City - UT - mountain,Double Barrel Big Bad Baptist,American Imperial Stout - Epic Brewing Company - Salt Lake City - UT - mountain
Big Bad Baptist - American Imperial Stout - Epic Brewing Company - Salt Lake City - UT - mountain,Big Bad Baptist,American Imperial Stout - Epic Brewing Company - Salt Lake City - UT - mountain
Quadruple Barrel Big Bad Baptist - American Imperial Stout - Epic Brewing Company - Salt Lake City - UT - mountain,Quadruple Barrel Big Bad Baptist,American Imperial Stout - Epic Brewing Company - Salt Lake City - UT - mountain
Triple Barrel Big Bad Baptist - American Imperial Stout - Epic Brewing Company - Salt Lake City - UT - mountain,Triple Barrel Big Bad Baptist,American Imperial Stout - Epic Brewing Company - Salt Lake City - UT - mountain
Big Bad Baptista - American Imperial Stout - Epic Brewing Company - Salt Lake City - UT - mountain,Big Bad Baptista,American Imperial Stout - Epic Brewing Company - Salt Lake City - UT - mountain
Fluctuation - New England IPA - Equilibrium Brewery - Middletown - NY - mid-atlantic,Fluctuation,New England IPA - Equilibrium Brewery - Middletown - NY - mid-atlantic
dHop2 - American Imperial IPA - Equilibrium Brewery - Middletown - NY - mid-atlantic,dHop2,American Imperial IPA - Equilibrium Brewery - Middletown - NY - mid-atlantic
Dream Wave Fluctuation - American Imperial IPA - Equilibrium Brewery - Middletown - NY - mid-atlantic,Dream Wave Fluctuation,American Imperial IPA - Equilibrium Brewery - Middletown - NY - mid-atlantic
mc² - New England IPA - Equilibrium Brewery - Middletown - NY - mid-atlantic,mc²,New England IPA - Equilibrium Brewery - Middletown - NY - mid-atlantic
Baba Yaga - Russian Imperial Stout - Ethereal Brewing - Lexington - KY - south,Baba Yaga,Russian Imperial Stout - Ethereal Brewing - Lexington - KY - south
Fad-tastic Vol. 1 - New England IPA - Ethereal Brewing - Lexington - KY - south,Fad-tastic Vol. 1,New England IPA - Ethereal Brewing - Lexington - KY - south
Imperial Biscotti Break - American Imperial Stout - Evil Twin Brewing - New York City - NY - mid-atlantic,Imperial Biscotti Break,American Imperial Stout - Evil Twin Brewing - New York City - NY - mid-atlantic
Michigan Maple Jesus - American Imperial Stout - Evil Twin Brewing - New York City - NY - mid-atlantic,Michigan Maple Jesus,American Imperial Stout - Evil Twin Brewing - New York City - NY - mid-atlantic
Some People Are Immune To Good Advice - American Imperial Stout - Evil Twin Brewing - New York City - NY - mid-atlantic,Some People Are Immune To Good Advice,American Imperial Stout - Evil Twin Brewing - New York City - NY - mid-atlantic
Double Barrel Jesus - American Imperial Stout - Evil Twin Brewing - New York City - NY - mid-atlantic,Double Barrel Jesus,American Imperial Stout - Evil Twin Brewing - New York City - NY - mid-atlantic
Imperial Biscotti Break - Bourbon Barrel-Aged - American Imperial Stout - Evil Twin Brewing - New York City - NY - mid-atlantic,Imperial Biscotti Break - Bourbon Barrel-Aged,American Imperial Stout - Evil Twin Brewing - New York City - NY - mid-atlantic
Fair State / Modern Times - Spirit Foul - New England IPA - Fair State Brewing Cooperative - Minneapolis - MN - midwest,Fair State / Modern Times - Spirit Foul,New England IPA - Fair State Brewing Cooperative - Minneapolis - MN - midwest
IBUsive - American Imperial IPA - Fat Head's Brewery & Saloon - Middleburg Heights - OH - great-lakes,IBUsive,American Imperial IPA - Fat Head's Brewery & Saloon - Middleburg Heights - OH - great-lakes
Hop JuJu Imperial IPA - American Imperial IPA - Fat Head's Brewery & Saloon - Middleburg Heights - OH - great-lakes,Hop JuJu Imperial IPA,American Imperial IPA - Fat Head's Brewery & Saloon - Middleburg Heights - OH - great-lakes
Super Juicy Hop JuJu - American Imperial IPA - Fat Head's Brewery & Saloon - Middleburg Heights - OH - great-lakes,Super Juicy Hop JuJu,American Imperial IPA - Fat Head's Brewery & Saloon - Middleburg Heights - OH - great-lakes
Mastermind - New England IPA - Fiddlehead Brewing Company - Shelburne - VT - new-england,Mastermind,New England IPA - Fiddlehead Brewing Company - Shelburne - VT - new-england
Second Fiddle - American Imperial IPA - Fiddlehead Brewing Company - Shelburne - VT - new-england,Second Fiddle,American Imperial IPA - Fiddlehead Brewing Company - Shelburne - VT - new-england
Imperial Eclipse Stout - Elijah Craig (12 Year) - American Imperial Stout - FiftyFifty Brewing Co. - Truckee - CA - pacific,Imperial Eclipse Stout - Elijah Craig (12 Year),American Imperial Stout - FiftyFifty Brewing Co. - Truckee - CA - pacific
Between The Dead - American Imperial Stout - Finback Brewery - New York City - NY - mid-atlantic,Between The Dead,American Imperial Stout - Finback Brewery - New York City - NY - mid-atlantic
BQE - Barrel Aged - American Imperial Stout - Finback Brewery - New York City - NY - mid-atlantic,BQE - Barrel Aged,American Imperial Stout - Finback Brewery - New York City - NY - mid-atlantic
Stickee Monkee - Belgian Quadrupel (Quad) - Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific,Stickee Monkee,Belgian Quadrupel (Quad) - Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific
§ucaba - British Barleywine - Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific,§ucaba,British Barleywine - Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific
Parabajava - Russian Imperial Stout - Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific,Parabajava,Russian Imperial Stout - Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific
Parabola - Russian Imperial Stout - Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific,Parabola,Russian Imperial Stout - Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific
Coconut Rye Parabola - Russian Imperial Stout - Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific,Coconut Rye Parabola,Russian Imperial Stout - Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific
Bretta Rosé - Berliner Weisse - Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific,Bretta Rosé,Berliner Weisse - Firestone Walker Brewing Co. - El Paso de Robles (Paso Robles) - CA - pacific
Wooden Hell - British Barleywine - Flossmoor Station Restaurant & Brewery - Flossmoor - IL - great-lakes,Wooden Hell,British Barleywine - Flossmoor Station Restaurant & Brewery - Flossmoor - IL - great-lakes
Barrel Aged Sexual Chocolate - Russian Imperial Stout - Foothills Brewing Company - Downtown Brewpub - Winston-Salem - NC - south-atlantic,Barrel Aged Sexual Chocolate,Russian Imperial Stout - Foothills Brewing Company - Downtown Brewpub - Winston-Salem - NC - south-atlantic
Breakfast Nook - American Imperial Porter - Forager Brewing Company - Rochester - MN - midwest,Breakfast Nook,American Imperial Porter - Forager Brewing Company - Rochester - MN - midwest
Nillerzzzzz - American Imperial Stout - Forager Brewing Company - Rochester - MN - midwest,Nillerzzzzz,American Imperial Stout - Forager Brewing Company - Rochester - MN - midwest
Pudding Dribbles - American Imperial Porter - Forager Brewing Company - Rochester - MN - midwest,Pudding Dribbles,American Imperial Porter - Forager Brewing Company - Rochester - MN - midwest
Epiphany - New England IPA - Foundation Brewing Company - Portland - ME - new-england,Epiphany,New England IPA - Foundation Brewing Company - Portland - ME - new-england
Backwoods Bastard - Scotch Ale / Wee Heavy - Founders Brewing Company - Grand Rapids - MI - great-lakes,Backwoods Bastard,Scotch Ale / Wee Heavy - Founders Brewing Company - Grand Rapids - MI - great-lakes
KBS (Kentucky Breakfast Stout) - American Imperial Stout - Founders Brewing Company - Grand Rapids - MI - great-lakes,KBS (Kentucky Breakfast Stout),American Imperial Stout - Founders Brewing Company - Grand Rapids - MI - great-lakes
Underground Mountain Brown - American Brown Ale - Founders Brewing Company - Grand Rapids - MI - great-lakes,Underground Mountain Brown,American Brown Ale - Founders Brewing Company - Grand Rapids - MI - great-lakes
CBS (Canadian Breakfast Stout) - American Imperial Stout - Founders Brewing Company - Grand Rapids - MI - great-lakes,CBS (Canadian Breakfast Stout),American Imperial Stout - Founders Brewing Company - Grand Rapids - MI - great-lakes
Mothership Series #5: Barrel-Aged Imperial Stout - Russian Imperial Stout - Founders Brewing Company - Grand Rapids - MI - great-lakes,Mothership Series #5: Barrel-Aged Imperial Stout,Russian Imperial Stout - Founders Brewing Company - Grand Rapids - MI - great-lakes
Imperial Stout - Russian Imperial Stout - Founders Brewing Company - Grand Rapids - MI - great-lakes,Imperial Stout,Russian Imperial Stout - Founders Brewing Company - Grand Rapids - MI - great-lakes
Breakfast Stout - American Imperial Stout - Founders Brewing Company - Grand Rapids - MI - great-lakes,Breakfast Stout,American Imperial Stout - Founders Brewing Company - Grand Rapids - MI - great-lakes
Mothership Series #4: Panther Cub Barrel-Aged Porter - American Imperial Porter - Founders Brewing Company - Grand Rapids - MI - great-lakes,Mothership Series #4: Panther Cub Barrel-Aged Porter,American Imperial Porter - Founders Brewing Company - Grand Rapids - MI - great-lakes
Raspberry Ananke - American Wild Ale - Freetail Brewing Company - San Antonio - TX - southwest,Raspberry Ananke,American Wild Ale - Freetail Brewing Company - San Antonio - TX - southwest
Ananke - American Wild Ale - Freetail Brewing Company - San Antonio - TX - southwest,Ananke,American Wild Ale - Freetail Brewing Company - San Antonio - TX - southwest
Woodicus - American Wild Ale - Freetail Brewing Company - San Antonio - TX - southwest,Woodicus,American Wild Ale - Freetail Brewing Company - San Antonio - TX - southwest
Peche'cus - American Wild Ale - Freetail Brewing Company - San Antonio - TX - southwest,Peche'cus,American Wild Ale - Freetail Brewing Company - San Antonio - TX - southwest
B-Bomb (Bourbon Abominable Winter Ale) - American Strong Ale - Fremont Brewing Company - Seattle - WA - northwest,B-Bomb (Bourbon Abominable Winter Ale),American Strong Ale - Fremont Brewing Company - Seattle - WA - northwest
Bourbon Barrel Aged Dark Star - English Oatmeal Stout - Fremont Brewing Company - Seattle - WA - northwest,Bourbon Barrel Aged Dark Star,English Oatmeal Stout - Fremont Brewing Company - Seattle - WA - northwest
The Rusty Nail - English Oatmeal Stout - Fremont Brewing Company - Seattle - WA - northwest,The Rusty Nail,English Oatmeal Stout - Fremont Brewing Company - Seattle - WA - northwest
Bourbon Barrel Aged Dark Star: Coffee Edition - English Oatmeal Stout - Fremont Brewing Company - Seattle - WA - northwest,Bourbon Barrel Aged Dark Star: Coffee Edition,English Oatmeal Stout - Fremont Brewing Company - Seattle - WA - northwest
Coffee Cinnamon B-Bomb - American Strong Ale - Fremont Brewing Company - Seattle - WA - northwest,Coffee Cinnamon B-Bomb,American Strong Ale - Fremont Brewing Company - Seattle - WA - northwest
Brew 3000 - British Barleywine - Fremont Brewing Company - Seattle - WA - northwest,Brew 3000,British Barleywine - Fremont Brewing Company - Seattle - WA - northwest
Coconut B-Bomb - American Strong Ale - Fremont Brewing Company - Seattle - WA - northwest,Coconut B-Bomb,American Strong Ale - Fremont Brewing Company - Seattle - WA - northwest
Bourbon Barrel Aged Dark Star: Spice Wars - English Oatmeal Stout - Fremont Brewing Company - Seattle - WA - northwest,Bourbon Barrel Aged Dark Star: Spice Wars,English Oatmeal Stout - Fremont Brewing Company - Seattle - WA - northwest
Cowiche Canyon Organic Fresh Hop Ale - American Pale Ale (APA) - Fremont Brewing Company - Seattle - WA - northwest,Cowiche Canyon Organic Fresh Hop Ale,American Pale Ale (APA) - Fremont Brewing Company - Seattle - WA - northwest
Frampaars - American Wild Ale - Funk Factory Geuzeria - Madison - WI - great-lakes,Frampaars,American Wild Ale - Funk Factory Geuzeria - Madison - WI - great-lakes
Vanilla Espresso Piiti Porter - American Porter - Funky Buddha Brewery - Oakland Park - FL - south-atlantic,Vanilla Espresso Piiti Porter,American Porter - Funky Buddha Brewery - Oakland Park - FL - south-atlantic
The Love Below - Russian Imperial Stout - Funky Buddha Brewery - Oakland Park - FL - south-atlantic,The Love Below,Russian Imperial Stout - Funky Buddha Brewery - Oakland Park - FL - south-atlantic
Wide Awake It's Morning - American Imperial Porter - Funky Buddha Brewery - Oakland Park - FL - south-atlantic,Wide Awake It's Morning,American Imperial Porter - Funky Buddha Brewery - Oakland Park - FL - south-atlantic
Last Snow - American Porter - Funky Buddha Brewery - Oakland Park - FL - south-atlantic,Last Snow,American Porter - Funky Buddha Brewery - Oakland Park - FL - south-atlantic
Last Buffalo In The Park - American Imperial Porter - Funky Buddha Brewery - Oakland Park - FL - south-atlantic,Last Buffalo In The Park,American Imperial Porter - Funky Buddha Brewery - Oakland Park - FL - south-atlantic
Veruca Snozzberry Gose - Leipzig Gose - Funky Buddha Brewery - Oakland Park - FL - south-atlantic,Veruca Snozzberry Gose,Leipzig Gose - Funky Buddha Brewery - Oakland Park - FL - south-atlantic
Maple Bacon Coffee Porter - American Porter - Funky Buddha Brewery - Oakland Park - FL - south-atlantic,Maple Bacon Coffee Porter,American Porter - Funky Buddha Brewery - Oakland Park - FL - south-atlantic
Morning Wood - American Imperial Porter - Funky Buddha Brewery - Oakland Park - FL - south-atlantic,Morning Wood,American Imperial Porter - Funky Buddha Brewery - Oakland Park - FL - south-atlantic
Big DIPA - American Imperial IPA - Gnarly Barley Brewing Company - Hammond - LA - south,Big DIPA,American Imperial IPA - Gnarly Barley Brewing Company - Hammond - LA - south
Jucifer - New England IPA - Gnarly Barley Brewing Company - Hammond - LA - south,Jucifer,New England IPA - Gnarly Barley Brewing Company - Hammond - LA - south
Korova Milk Porter With Peanut Butter - American Porter - Gnarly Barley Brewing Company - Hammond - LA - south,Korova Milk Porter With Peanut Butter,American Porter - Gnarly Barley Brewing Company - Hammond - LA - south
El Gordo (Barrel Aged) - Russian Imperial Stout - Good People Brewing Company - Birmingham - AL - south,El Gordo (Barrel Aged),Russian Imperial Stout - Good People Brewing Company - Birmingham - AL - south
Snake Handler Double IPA - American Imperial IPA - Good People Brewing Company - Birmingham - AL - south,Snake Handler Double IPA,American Imperial IPA - Good People Brewing Company - Birmingham - AL - south
Hitchhiker - American IPA - Good People Brewing Company - Birmingham - AL - south,Hitchhiker,American IPA - Good People Brewing Company - Birmingham - AL - south
Fatso - Russian Imperial Stout - Good People Brewing Company - Birmingham - AL - south,Fatso,Russian Imperial Stout - Good People Brewing Company - Birmingham - AL - south
El Gordo - Russian Imperial Stout - Good People Brewing Company - Birmingham - AL - south,El Gordo,Russian Imperial Stout - Good People Brewing Company - Birmingham - AL - south
Bourbon County Brand Vanilla Stout - American Imperial Stout - Goose Island Beer Co. - Chicago - IL - great-lakes,Bourbon County Brand Vanilla Stout,American Imperial Stout - Goose Island Beer Co. - Chicago - IL - great-lakes
Bourbon County Brand Barleywine Ale - British Barleywine - Goose Island Beer Co. - Chicago - IL - great-lakes,Bourbon County Brand Barleywine Ale,British Barleywine - Goose Island Beer Co. - Chicago - IL - great-lakes
Proprietor's Bourbon County Brand Stout (2018) - American Imperial Stout - Goose Island Beer Co. - Chicago - IL - great-lakes,Proprietor's Bourbon County Brand Stout (2018),American Imperial Stout - Goose Island Beer Co. - Chicago - IL - great-lakes
Bourbon County Brand Coffee Stout - American Imperial Stout - Goose Island Beer Co. - Chicago - IL - great-lakes,Bourbon County Brand Coffee Stout,American Imperial Stout - Goose Island Beer Co. - Chicago - IL - great-lakes
Double Barrel Bourbon County Brand Stout - American Imperial Stout - Goose Island Beer Co. - Chicago - IL - great-lakes,Double Barrel Bourbon County Brand Stout,American Imperial Stout - Goose Island Beer Co. - Chicago - IL - great-lakes
Bourbon County Brand Bramble Rye Stout - American Imperial Stout - Goose Island Beer Co. - Chicago - IL - great-lakes,Bourbon County Brand Bramble Rye Stout,American Imperial Stout - Goose Island Beer Co. - Chicago - IL - great-lakes
Bourbon County Brand Reserve Stout (2018) - American Imperial Stout - Goose Island Beer Co. - Chicago - IL - great-lakes,Bourbon County Brand Reserve Stout (2018),American Imperial Stout - Goose Island Beer Co. - Chicago - IL - great-lakes
Bourbon County Brand Stout - American Imperial Stout - Goose Island Beer Co. - Chicago - IL - great-lakes,Bourbon County Brand Stout,American Imperial Stout - Goose Island Beer Co. - Chicago - IL - great-lakes
Old Ruffian - American Barleywine - Great Divide Brewing Company - Denver - CO - mountain,Old Ruffian,American Barleywine - Great Divide Brewing Company - Denver - CO - mountain
Oak Aged Yeti Imperial Stout - American Imperial Stout - Great Divide Brewing Company - Denver - CO - mountain,Oak Aged Yeti Imperial Stout,American Imperial Stout - Great Divide Brewing Company - Denver - CO - mountain
Espresso Oak Aged Yeti Imperial Stout - American Imperial Stout - Great Divide Brewing Company - Denver - CO - mountain,Espresso Oak Aged Yeti Imperial Stout,American Imperial Stout - Great Divide Brewing Company - Denver - CO - mountain
Yeti - American Imperial Stout - Great Divide Brewing Company - Denver - CO - mountain,Yeti,American Imperial Stout - Great Divide Brewing Company - Denver - CO - mountain
Yeti - Barrel-Aged - American Imperial Stout - Great Divide Brewing Company - Denver - CO - mountain,Yeti - Barrel-Aged,American Imperial Stout - Great Divide Brewing Company - Denver - CO - mountain
Chocolate Oak Aged Yeti - American Imperial Stout - Great Divide Brewing Company - Denver - CO - mountain,Chocolate Oak Aged Yeti,American Imperial Stout - Great Divide Brewing Company - Denver - CO - mountain
Barrel-Aged Blackout Stout - Russian Imperial Stout - Great Lakes Brewing Co. - Cleveland - OH - great-lakes,Barrel-Aged Blackout Stout,Russian Imperial Stout - Great Lakes Brewing Co. - Cleveland - OH - great-lakes
Juice Jr. - New England IPA - Great Notion Brewing - Portland - OR - northwest,Juice Jr.,New England IPA - Great Notion Brewing - Portland - OR - northwest
Ripe IPA - New England IPA - Great Notion Brewing - Portland - OR - northwest,Ripe IPA,New England IPA - Great Notion Brewing - Portland - OR - northwest
Double Stack - American Imperial Stout - Great Notion Brewing - Portland - OR - northwest,Double Stack,American Imperial Stout - Great Notion Brewing - Portland - OR - northwest
Space Invader - New England IPA - Great Notion Brewing - Portland - OR - northwest,Space Invader,New England IPA - Great Notion Brewing - Portland - OR - northwest
Blueberry Pancakes - American Imperial Stout - Great Notion Brewing - Portland - OR - northwest,Blueberry Pancakes,American Imperial Stout - Great Notion Brewing - Portland - OR - northwest
Juice Box - New England IPA - Great Notion Brewing - Portland - OR - northwest,Juice Box,New England IPA - Great Notion Brewing - Portland - OR - northwest
Super Ripe - American Imperial IPA - Great Notion Brewing - Portland - OR - northwest,Super Ripe,American Imperial IPA - Great Notion Brewing - Portland - OR - northwest
Super Over Ripe - American Imperial IPA - Great Notion Brewing - Portland - OR - northwest,Super Over Ripe,American Imperial IPA - Great Notion Brewing - Portland - OR - northwest
Over-Ripe - New England IPA - Great Notion Brewing - Portland - OR - northwest,Over-Ripe,New England IPA - Great Notion Brewing - Portland - OR - northwest
Blueberry Muffin - Berliner Weisse - Great Notion Brewing - Portland - OR - northwest,Blueberry Muffin,Berliner Weisse - Great Notion Brewing - Portland - OR - northwest
At Arm's Length - American Lager - Great Raft Brewing - Shreveport - LA - south,At Arm's Length,American Lager - Great Raft Brewing - Shreveport - LA - south
Grace And Grit - American Imperial IPA - Great Raft Brewing - Shreveport - LA - south,Grace And Grit,American Imperial IPA - Great Raft Brewing - Shreveport - LA - south
Oceans Between Us - American IPA - Great Raft Brewing - Shreveport - LA - south,Oceans Between Us,American IPA - Great Raft Brewing - Shreveport - LA - south
Old Mad Joy - Baltic Porter - Great Raft Brewing - Shreveport - LA - south,Old Mad Joy,Baltic Porter - Great Raft Brewing - Shreveport - LA - south
All My Tomorrows - Belgian Saison - Great Raft Brewing - Shreveport - LA - south,All My Tomorrows,Belgian Saison - Great Raft Brewing - Shreveport - LA - south
Maceo - American Wild Ale - Green Man Brewery - Asheville - NC - south-atlantic,Maceo,American Wild Ale - Green Man Brewery - Asheville - NC - south-atlantic
Bootsy - American Wild Ale - Green Man Brewery - Asheville - NC - south-atlantic,Bootsy,American Wild Ale - Green Man Brewery - Asheville - NC - south-atlantic
Snozzberry - American Wild Ale - Green Man Brewery - Asheville - NC - south-atlantic,Snozzberry,American Wild Ale - Green Man Brewery - Asheville - NC - south-atlantic
Afterimage - New England IPA - Grimm Artisanal Ales - New York City - NY - mid-atlantic,Afterimage,New England IPA - Grimm Artisanal Ales - New York City - NY - mid-atlantic
