ids,labels,parents
Blanco - TX - southwest,Blanco,TX - southwest
Elsmere - CO - mountain,Elsmere,CO - mountain
Santa Rosa - CA - pacific,Santa Rosa,CA - pacific
Northport - NY - mid-atlantic,Northport,NY - mid-atlantic
Capitola - CA - pacific,Capitola,CA - pacific
Brentwood - MO - midwest,Brentwood,MO - midwest
Wauconda - IL - great-lakes,Wauconda,IL - great-lakes
Hattiesburg - MS - south,Hattiesburg,MS - south
St. Louis Park - MN - midwest,St. Louis Park,MN - midwest
Baltimore - MD - mid-atlantic,Baltimore,MD - mid-atlantic
Escondido - CA - pacific,Escondido,CA - pacific
Huntsville - AL - south,Huntsville,AL - south
Phoenix - AZ - southwest,Phoenix,AZ - southwest
Stowe - VT - new-england,Stowe,VT - new-england
Westhampton - VA - south-atlantic,Westhampton,VA - south-atlantic
Placentia - CA - pacific,Placentia,CA - pacific
Magnolia - TX - southwest,Magnolia,TX - southwest
San Marcos - CA - pacific,San Marcos,CA - pacific
Berkeley - CA - pacific,Berkeley,CA - pacific
Queenswood - VA - south-atlantic,Queenswood,VA - south-atlantic
Atlanta - GA - south-atlantic,Atlanta,GA - south-atlantic
Akron - OH - great-lakes,Akron,OH - great-lakes
Exeter - RI - new-england,Exeter,RI - new-england
Lower Merion Township - PA - mid-atlantic,Lower Merion Township,PA - mid-atlantic
Tombstone - AZ - southwest,Tombstone,AZ - southwest
Decorah - IA - midwest,Decorah,IA - midwest
Bridgman - MI - great-lakes,Bridgman,MI - great-lakes
Charlton - MA - new-england,Charlton,MA - new-england
Bedford - TX - southwest,Bedford,TX - southwest
Waunakee - WI - great-lakes,Waunakee,WI - great-lakes
Bloomington - IN - great-lakes,Bloomington,IN - great-lakes
Meadville - PA - mid-atlantic,Meadville,PA - mid-atlantic
Greeley - CO - mountain,Greeley,CO - mountain
Mount Pleasant - SC - south-atlantic,Mount Pleasant,SC - south-atlantic
Willoughby - OH - great-lakes,Willoughby,OH - great-lakes
Memphis - TN - south,Memphis,TN - south
Water Valley - MS - south,Water Valley,MS - south
Tillamook - OR - northwest,Tillamook,OR - northwest
18th Street Brewery - Gary Taproom - Gary - IN - great-lakes,18th Street Brewery - Gary Taproom,Gary - IN - great-lakes
3 Floyds Brewing Co. - Munster - IN - great-lakes,3 Floyds Brewing Co.,Munster - IN - great-lakes
3 Sons Brewing Company - Dania Beach - FL - south-atlantic,3 Sons Brewing Company,Dania Beach - FL - south-atlantic
4 Hands Brewing Co. - St. Louis - MO - midwest,4 Hands Brewing Co.,St. Louis - MO - midwest
515 Brewing Company - Clive - IA - midwest,515 Brewing Company,Clive - IA - midwest
Against The Grain Brewery & Smokehouse - Louisville - KY - south,Against The Grain Brewery & Smokehouse,Louisville - KY - south
Al's of Hampden / Pizza Boy Brewing - Mount View - PA - mid-atlantic,Al's of Hampden / Pizza Boy Brewing,Mount View - PA - mid-atlantic
AleSmith Brewing Company - San Diego - CA - pacific,AleSmith Brewing Company,San Diego - CA - pacific
Allagash Brewing Company - Portland - ME - new-england,Allagash Brewing Company,Portland - ME - new-england
Alpine Beer Company - San Diego - CA - pacific,Alpine Beer Company,San Diego - CA - pacific
American Solera - Kengle - OK - southwest,American Solera,Kengle - OK - southwest
Anchorage Brewing Company - Anchorage - AK - northwest,Anchorage Brewing Company,Anchorage - AK - northwest
Angry Chair Brewing - Tampa - FL - south-atlantic,Angry Chair Brewing,Tampa - FL - south-atlantic
Arclight Brewing Company - Watervliet - MI - great-lakes,Arclight Brewing Company,Watervliet - MI - great-lakes
Arizona Wilderness Brewing Co. - Gilbert - AZ - southwest,Arizona Wilderness Brewing Co.,Gilbert - AZ - southwest
Aslin Beer Company - Herndon - VA - south-atlantic,Aslin Beer Company,Herndon - VA - south-atlantic
Austin Beerworks - Austin - TX - southwest,Austin Beerworks,Austin - TX - southwest
Avery Brewing Company - Boulder - CO - mountain,Avery Brewing Company,Boulder - CO - mountain
Ballast Point Brewing Company - San Diego - CA - pacific,Ballast Point Brewing Company,San Diego - CA - pacific
