,Beer,Total_Votes,Rating,Brewery,Beer_Style,ABV,Region
86,Thumbprint Wild Sour Ale,"1,069",4.36,New Glarus Brewing Company,American Wild Ale,5.00%,great-lakes
87,Hipster Brunch Stout,850,4.36,Odd Side Ales,American Imperial Stout,11.00%,great-lakes
88,Brewer's Reserve Bourbon Barrel Cassian Sunset,724,4.36,Central Waters Brewing Co.,American Imperial Stout,11.70%,great-lakes
89,The Final Act,60,4.44,Pipeworks Brewing Company,American Imperial Stout,13.00%,great-lakes
90,Barrel Aged The Abduction,133,4.39,Pipeworks Brewing Company,American Imperial Stout,13.00%,great-lakes
91,"Mikerphone Check 1, 2",104,4.4,Mikerphone Brewing,New England IPA,8.00%,great-lakes
92,Backwoods Bastard,"8,638",4.35,Founders Brewing Company,Scotch Ale / Wee Heavy,11.20%,great-lakes
93,Barrel Aged Behemoth,474,4.36,3 Floyds Brewing Co.,American Barleywine,12.50%,great-lakes
94,Serendipity,"2,958",4.35,New Glarus Brewing Company,Fruit and Field Beer,4.00%,great-lakes
95,Barrel-Aged Blackout Stout,"1,845",4.35,Great Lakes Brewing Co.,Russian Imperial Stout,9.50%,great-lakes
96,Bourbon County Brand Bramble Rye Stout,"1,133",4.35,Goose Island Beer Co.,American Imperial Stout,12.70%,great-lakes
97,Konkey Dong,343,4.36,Hoof Hearted Brewing,American Imperial IPA,8.00%,great-lakes
98,Untitled Art / Mikerphone - BA Hazelnut Imperial Stout,35,4.49,Untitled Art,American Imperial Stout,12.20%,great-lakes
99,Pear Bear,298,4.36,3 Floyds Brewing Co.,American Wild Ale,7.50%,great-lakes
100,Grande Negro Voodoo Papi - Bourbon Barrel-Aged,376,4.62,Voodoo Brewery,American Imperial Stout,12.50%,mid-atlantic
101,3rd Anniversary Imperial IPA,302,4.58,Other Half Brewing Co.,New England IPA,10.00%,mid-atlantic
102,4th Anniversary,197,4.59,Other Half Brewing Co.,New England IPA,10.00%,mid-atlantic
103,Sunday Brunch,774,4.56,Kane Brewing Company,American Imperial Porter,9.20%,mid-atlantic
104,Mexican Brunch,543,4.56,Kane Brewing Company,American Imperial Porter,9.20%,mid-atlantic
105,Double Dry Hopped Double Mosaic Dream,540,4.55,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic
106,Double Dry Hopped Mylar Bags,434,4.55,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic
107,Double Dry Hopped Double Mosaic Daydream,383,4.54,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic
108,Imperial Biscotti Break - Bourbon Barrel-Aged,"1,657",4.51,Evil Twin Brewing,American Imperial Stout,11.50%,mid-atlantic
109,Double Dry Hopped All Citra Everything,445,4.52,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic
110,Double Barrel Jesus,802,4.5,Evil Twin Brewing,American Imperial Stout,12.00%,mid-atlantic
111,Triple Citra Daydream,120,4.54,Other Half Brewing Co.,New England IPA,10.50%,mid-atlantic
112,All Infinity Everything,115,4.53,Other Half Brewing Co.,New England IPA,8.70%,mid-atlantic
113,Double Dry Hopped Double Citra Daydream,230,4.5,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic
114,Black Magick - Willet Bourbon Barrel-Aged,27,4.69,Voodoo Brewery,Russian Imperial Stout,13.50%,mid-atlantic
115,Albatross,86,4.53,Brew Gentlemen,New England IPA,8.00%,mid-atlantic
116,Le Roar Grrrz,172,4.48,Bullfrog Brewery,Belgian Gueuze,Gueuze,mid-atlantic
117,DoubleMex,71,4.52,Brew Gentlemen,American Imperial Stout,9.90%,mid-atlantic
118,All 5th Anniversary Everything - Banana,28,4.63,Other Half Brewing Co.,American Imperial Stout,15.40%,mid-atlantic
119,Triple Cream Triple Dry Hopped Imperial Oat Cream IPA,105,4.48,Other Half Brewing Co.,New England IPA,10.00%,mid-atlantic
120,Space Diamonds (Double Dry-Hopped),236,4.45,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic
121,Mosaic IPA,390,4.44,Other Half Brewing Co.,New England IPA,7.20%,mid-atlantic
122,Even Mo Mofo,100,4.48,Sand City Brewing Co.,New England IPA,8.50%,mid-atlantic
123,Afterimage,593,4.43,Grimm Artisanal Ales,New England IPA,8.00%,mid-atlantic
124,Pile Of Crowns,109,4.47,LIC Beer Project,New England IPA,8.50%,mid-atlantic
125,Double Mosaic Daydream,76,4.49,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic
126,FOSHOMO,58,4.51,Brew Gentlemen,American Imperial IPA,8.20%,mid-atlantic
127,Softly Spoken Magic Spells,916,4.42,SingleCut Beersmiths,New England IPA,8.60%,mid-atlantic
128,Power Of ONE,70,4.49,Sand City Brewing Co.,New England IPA,8.20%,mid-atlantic
129,Magnetic Compass,294,4.43,Grimm Artisanal Ales,New England IPA,6.40%,mid-atlantic
130,The Dreamiest,36,4.56,Other Half Brewing Co.,New England IPA,7.80%,mid-atlantic
131,Double Mosaic Dream,242,4.43,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic
132,Fluctuation,124,4.45,Equilibrium Brewery,New England IPA,8.10%,mid-atlantic
133,Double Dry Hopped Mylar Daydream,124,4.45,Other Half Brewing Co.,New England IPA,8.80%,mid-atlantic
134,Other Half / Burial - Velvet Magnum II,26,4.61,Other Half Brewing Co.,American Imperial Stout,15.00%,mid-atlantic
135,All Green Everything,"1,092",4.41,Other Half Brewing Co.,New England IPA,10.50%,mid-atlantic
136,A Night To End All Dawns,599,4.41,Kane Brewing Company,American Imperial Stout,12.20%,mid-atlantic
137,Vapor Ringz,35,4.55,Other Half Brewing Co.,New England IPA,8.40%,mid-atlantic
138,Mexican Brunch - Bourbon Barrel-Aged,43,4.52,Kane Brewing Company,American Imperial Porter,11.40%,mid-atlantic
139,Triple Dry Hopped Triple Mosaic Daydream,62,4.48,Other Half Brewing Co.,New England IPA,11.50%,mid-atlantic
140,Le Roar Grrrz Kriek,203,4.42,Bullfrog Brewery,American Wild Ale,6.00%,mid-atlantic
141,Double Milkshake IPA - EXTRA Vanilla,93,4.45,Tired Hands Brewing Company,New England IPA,9.20%,mid-atlantic
142,Triple Mylar Daydream,41,4.52,Other Half Brewing Co.,American Imperial IPA,11.30%,mid-atlantic
143,5th Anniversary,60,4.48,Other Half Brewing Co.,New England IPA,10.00%,mid-atlantic
144,Second Wave,92,4.45,Sand City Brewing Co.,New England IPA,8.00%,mid-atlantic
145,Second Anniversary DIPA,191,4.42,Other Half Brewing Co.,New England IPA,9.00%,mid-atlantic
146,Other Half / Trillium Like Whoa,139,4.43,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic
147,Tesseract,567,4.4,Grimm Artisanal Ales,American Imperial IPA,8.00%,mid-atlantic
148,Only Void - Single-Origin Ethiopian Coffee,131,4.43,Tired Hands Brewing Company,American Imperial Stout,10.00%,mid-atlantic
149,Double Dry Hopped Citra + Galaxy,56,4.48,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic
150,Space Hallucinations,62,4.47,Other Half Brewing Co.,American Imperial IPA,10.50%,mid-atlantic
151,Cafe Y Churro,226,4.41,Carton Brewing Company,American Cream Ale,12.00%,mid-atlantic
152,Double Dry-Hopped Tesseract,79,4.45,Grimm Artisanal Ales,American Imperial IPA,8.00%,mid-atlantic
153,Stillwater / Westbrook - Gose Gone Wild,"1,113",4.39,Stillwater Artisanal Ales,Leipzig Gose,4.60%,mid-atlantic
154,Mammoth,91,4.44,Brew Gentlemen,American Imperial IPA,8.50%,mid-atlantic
155,Infinity Minus ONE +2,58,4.47,Sand City Brewing Co.,New England IPA,8.20%,mid-atlantic
156,Riot In Vermont,22,4.6,Prison City Pub & Brewery,New England IPA,6.50%,mid-atlantic
157,Between The Dead,75,4.44,Finback Brewery,American Imperial Stout,10.00%,mid-atlantic
158,Extra Extra Knuckle,132,4.41,Tired Hands Brewing Company,New England IPA,8.60%,mid-atlantic
159,Green Power,73,4.44,Other Half Brewing Co.,American Imperial IPA,8.00%,mid-atlantic
160,Space Daydream - Double Dry-Hopped,85,4.43,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic
161,World Wide Stout - Bourbon Barrel Aged,100,4.42,Dogfish Head Craft Brewery,American Imperial Stout,18.00%,mid-atlantic
162,Space Daydream Imperial Oat Cream IPA,62,4.45,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic
163,Double Dry Hopped Forever Simcoe,158,4.4,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic
164,Radical ONE,58,4.45,Sand City Brewing Co.,American Imperial IPA,8.20%,mid-atlantic
165,Double Dry Hopped Broccoli,191,4.39,Other Half Brewing Co.,New England IPA,7.90%,mid-atlantic
166,BQE - Barrel Aged,178,4.39,Finback Brewery,American Imperial Stout,10.00%,mid-atlantic
167,mc²,273,4.38,Equilibrium Brewery,New England IPA,8.00%,mid-atlantic
168,Sunny Side Up (Little Amps! Double Coffee),621,4.37,Al's of Hampden / Pizza Boy Brewing,American Imperial Stout,9.50%,mid-atlantic
169,Cuvée De Castleton,570,4.37,Captain Lawrence Brewing Co.,American Wild Ale,8.40%,mid-atlantic
170,Double Dry Hopped Bon Bon 2X TNT IIPA,80,4.42,SingleCut Beersmiths,New England IPA,8.20%,mid-atlantic
171,Michigan Maple Jesus,453,4.37,Evil Twin Brewing,American Imperial Stout,12.00%,mid-atlantic
172,Eviscerated Pathway Of Beauty,117,4.4,Tired Hands Brewing Company,New England IPA,8.60%,mid-atlantic
173,Sand City / Finback - Beach Front Avenue,26,4.54,Sand City Brewing Co.,American Imperial IPA,8.00%,mid-atlantic
174,Dream Wave Fluctuation,26,4.54,Equilibrium Brewery,American Imperial IPA,8.10%,mid-atlantic
175,Cowbell Imperial Oatmeal Milk Stout,345,4.37,Voodoo Brewery,English Sweet / Milk Stout,8.50%,mid-atlantic
176,Mylar Bags,183,4.38,Other Half Brewing Co.,New England IPA,8.80%,mid-atlantic
177,Flaming Fury,282,4.37,Captain Lawrence Brewing Co.,American Wild Ale,8.00%,mid-atlantic
178,Lambo Door,612,4.36,Grimm Artisanal Ales,American Imperial IPA,8.00%,mid-atlantic
179,"Triangle Test with Citra T-90, T-45 Lupulin Powder",43,4.46,Other Half Brewing Co.,American Imperial IPA,10.00%,mid-atlantic
180,077-07871 - Mosaic,91,4.4,Carton Brewing Company,American Imperial IPA,7.80%,mid-atlantic
181,Lumen,389,4.36,Grimm Artisanal Ales,New England IPA,6.40%,mid-atlantic
182,Some People Are Immune To Good Advice,57,4.43,Evil Twin Brewing,American Imperial Stout,10.70%,mid-atlantic
183,dHop2,64,4.42,Equilibrium Brewery,American Imperial IPA,8.50%,mid-atlantic
184,Infinity + 2,35,4.48,Sand City Brewing Co.,New England IPA,9.00%,mid-atlantic
185,Demiurge,20,4.58,Hudson Valley Brewery,New England IPA,8.00%,mid-atlantic
186,Double Dry Hopped Stacks On Stacks,137,4.38,Other Half Brewing Co.,New England IPA,8.50%,mid-atlantic
187,International Playboy,32,4.49,Sand City Brewing Co.,New England IPA,8.00%,mid-atlantic
188,Double Dry Hopped Citra Daydream,61,4.42,Other Half Brewing Co.,New England IPA,6.00%,mid-atlantic
189,Holy Nights,34,4.48,Kane Brewing Company,American Imperial Stout,10.70%,mid-atlantic
190,The Light That Spills Out Of The Hole In Your Head,272,4.36,Tired Hands Brewing Company,American Pale Ale (APA),6.00%,mid-atlantic
191,Head High - Double Dry-Hopped With Galaxy,81,4.4,Kane Brewing Company,New England IPA,6.50%,mid-atlantic
192,Snowbirds - Bourbon Barrel-Aged,26,4.52,Other Half Brewing Co.,American Imperial Stout,14.40%,mid-atlantic
193,"We've Been Out There in Orbit (with Marcona Almonds, Cinnamon, and Vanilla)",26,4.52,Other Half Brewing Co.,American Imperial Stout,14.50%,mid-atlantic
194,Recertified,36,4.47,Brew Gentlemen,American Imperial IPA,8.00%,mid-atlantic
195,St.Oner,117,4.38,Tired Hands Brewing Company,New England IPA,6.50%,mid-atlantic
196,Apotheosis,33,4.48,Hudson Valley Brewery,New England IPA,6.00%,mid-atlantic
197,Le Roar Grrrz Apricot,115,4.38,Bullfrog Brewery,American Wild Ale,7.00%,mid-atlantic
198,Double Dry Hopped Cabbage,149,4.37,Other Half Brewing Co.,New England IPA,7.90%,mid-atlantic
199,Imperial Biscotti Break,"4,460",4.34,Evil Twin Brewing,American Imperial Stout,11.50%,mid-atlantic
200,Kentucky Brunch Brand Stout,762,4.84,Toppling Goliath Brewing Company,American Imperial Stout,12.00%,midwest
201,Barrel-Aged Abraxas,"1,500",4.74,Perennial Artisan Ales,American Imperial Stout,11.00%,midwest
202,Mornin' Delight,"1,517",4.7,Toppling Goliath Brewing Company,American Imperial Stout,12.00%,midwest
203,SR-71,509,4.71,Toppling Goliath Brewing Company,American Imperial Stout,14.00%,midwest
204,Anabasis,136,4.71,Side Project Brewing,American Barleywine,14.00%,midwest
